command,num_steps,avg_position_error,avg_orientation_error,position_error_rate,orientation_error_rate,position_r_squared,orientation_r_squared,max_position_error,min_position_error,max_orientation_error,min_orientation_error,position_error_pct_change,orientation_error_pct_change
0,101,0.08048032810634902,0.48305001913911044,-0.0013398535373031091,0.00044815865865473024,0.26035763231021286,0.08796682201106074,0.4542593359947204,0.0555125623941421,0.7809954285621643,0.3636610507965088,-87.77410192375041,-36.78550040223832
1,101,0.16173553466796875,0.6108356554909508,-0.00103452720767756,0.00025529611923004485,0.2908895232555119,0.10396709101410605,0.4342146813869476,0.1414408832788467,0.7513285875320435,0.5757893919944763,-67.42604768059361,-17.112990335259997
2,101,0.11535782234208418,1.025341254059631,-0.0025453474100551143,-0.0011470634554039268,0.3652334391600649,0.37501439060485375,0.6512609124183655,0.0642824545502662,1.2601035833358765,0.9888861775398254,-90.12005272577426,-10.27841966924988
3,101,0.1478475285048532,0.21063361339049763,-0.0015718750063770381,-0.0016392619913931012,0.39161016982666874,0.4448955208086378,0.5167436599731445,0.1081778779625892,0.6070255041122437,0.1695070266723632,-79.06546585047386,-72.07579821209292
4,101,0.23639017092709494,0.29508155643349826,-0.000994331957333019,-0.0007397723850567948,0.32803590474598016,0.1161298597512322,0.4829245507717132,0.2148534208536148,0.6374767422676086,0.2673446238040924,-55.50994031877668,-53.760559172741495
5,101,0.15942972470628153,0.3768667985897253,-0.0015236862709373672,-0.000564541014461373,0.2566732420548015,0.07022726517027278,0.586779773235321,0.1304491311311721,0.7407984733581543,0.3134616315364837,-77.54044860034472,-48.89137787427257
6,101,0.19775330267920352,0.4951400550285188,-0.0014816157810550548,0.0003849935857931683,0.27533330046941157,0.04098536145419035,0.5785213112831116,0.1674316972494125,0.7997437119483948,0.3885718286037445,-70.91353090987131,-35.578226988047604
7,101,0.24588679441130987,0.5721322244936877,-0.0010248186250516132,-0.00011462732116774752,0.25450491039771295,0.011024067285091914,0.5475456118583679,0.2262585163116455,0.8039045333862305,0.541690468788147,-58.677686130343574,-29.05454620946551
8,101,0.17520610161937109,0.8816898866455154,-0.0007715067051320693,-0.0011057365447473722,0.09169205497994334,0.489834464703813,0.5588212013244629,0.1122860834002494,1.070626735687256,0.8519806265830994,-68.75016799168553,-9.695639881998815
