command,num_steps,avg_position_error,avg_orientation_error,position_error_rate,orientation_error_rate,position_r_squared,orientation_r_squared,max_position_error,min_position_error,max_orientation_error,min_orientation_error,position_error_pct_change,orientation_error_pct_change
0,101,0.15620145511509168,0.43190228791520147,-0.0013691520100772973,-0.0007785648340115249,0.1891340580367329,0.5866101678893627,0.6810320615768433,0.1282990723848343,0.5805972218513489,0.4099002778530121,-81.16108188977563,-29.400234374879695
1,101,0.17070097041012036,0.6611479874884728,-0.0007843351652265357,-0.0030976571360506423,0.5435129219880741,0.7175153045096655,0.3194133043289184,0.1489883661270141,1.1239370107650757,0.5580955743789673,-53.35561665471763,-50.34458612595507
2,101,0.08596497342580613,0.40099643126572715,0.00031114520469271447,-4.028410934471571e-05,0.14083855792857022,0.00022657306479675522,0.2297209799289703,0.0451516732573509,0.9955875277519226,0.2344389110803604,-55.608616949550985,-59.897563261430285
3,101,0.17119016712254817,0.8861433438735433,-0.001104995849074218,-0.0008901724089143161,0.4786618008074138,0.44104288700460464,0.4143874943256378,0.1398767679929733,0.9460373520851136,0.8137866258621216,-66.24493501653453,-1.5597553892757305
4,101,0.20179128882908584,1.0416801689875008,-0.0009650223567240032,-0.004628729609882131,0.693837883486857,0.8462975775015745,0.3183075189590454,0.1729807406663894,1.393733024597168,0.894080638885498,-45.65609344319456,-35.703843534222074
5,101,0.058732582311523986,0.39490442818934374,-0.0003436976655597389,-0.0018085502967212386,0.09014260884532814,0.21398515940673712,0.2297466099262237,0.0391111858189106,1.0757302045822144,0.3567116856575012,-73.19073073778408,-66.09484125396628
6,101,0.16444748772843049,0.5797561808387832,-0.0016507523134133809,-0.000794376575051176,0.3394277525976804,0.2754586377333868,0.5350437760353088,0.1302580386400222,0.7346917390823364,0.5574284195899963,-75.65469509705574,-21.774466350365596
7,101,0.1513956645042589,0.4801574426122231,-0.0004711653093439103,-0.0019591961729019695,0.3157888763460591,0.4004530266812942,0.3125770092010498,0.1402225494384765,1.0423182249069214,0.4265480935573578,-55.139839044180874,-59.07698020002976
8,101,0.12502956076866326,0.4084112968775305,0.00035815314291588545,-0.0009994000883802258,0.22132223384604435,0.14924241243288644,0.2443106770515442,0.0606733448803424,1.0127414464950562,0.38182133436203,-43.8541221166019,-62.29824150246289
