step, command_counter, position_error, orientation_error
1, 0, 0.4777064323425293, 1.0726325511932373
2, 0, 0.43666407465934753, 1.0864875316619873
3, 0, 0.3968822658061981, 1.2381393909454346
4, 0, 0.3473241627216339, 0.7506375312805176
5, 0, 0.2843588888645172, 0.3633703589439392
6, 0, 0.22666840255260468, 0.24809995293617249
7, 0, 0.17902812361717224, 0.1834227740764618
8, 0, 0.140113964676857, 0.15060974657535553
9, 0, 0.10850441455841064, 0.13271060585975647
10, 0, 0.08483810722827911, 0.1325027495622635
11, 0, 0.06869175285100937, 0.14063981175422668
12, 0, 0.05705619603395462, 0.14557641744613647
13, 0, 0.04838908836245537, 0.13787835836410522
14, 0, 0.04515395686030388, 0.13514097034931183
15, 0, 0.043966878205537796, 0.13362382352352142
16, 0, 0.04324052482843399, 0.1330372542142868
17, 0, 0.04257797449827194, 0.13276457786560059
18, 0, 0.04191828519105911, 0.1327492743730545
19, 0, 0.04128432646393776, 0.13301928341388702
20, 0, 0.04066032916307449, 0.13345374166965485
21, 0, 0.040046606212854385, 0.1339734047651291
22, 0, 0.03945555165410042, 0.1345461905002594
23, 0, 0.03889276087284088, 0.13514728844165802
24, 0, 0.038358695805072784, 0.13575226068496704
25, 0, 0.03783746808767319, 0.13631600141525269
26, 0, 0.03733360022306442, 0.1368441879749298
27, 0, 0.03684812784194946, 0.13733112812042236
28, 0, 0.036382026970386505, 0.13777852058410645
29, 0, 0.035937003791332245, 0.13819101452827454
30, 0, 0.03551173955202103, 0.1385655552148819
31, 0, 0.03510728105902672, 0.1389073133468628
32, 0, 0.034722305834293365, 0.1392178237438202
33, 0, 0.03435632586479187, 0.13949787616729736
34, 0, 0.03400743007659912, 0.1397448480129242
35, 0, 0.033675774931907654, 0.13996878266334534
36, 0, 0.03336185961961746, 0.1401720643043518
37, 0, 0.03306300938129425, 0.14035029709339142
38, 0, 0.03277880325913429, 0.14050748944282532
39, 0, 0.03250884637236595, 0.1406445950269699
40, 0, 0.03225322067737579, 0.14076706767082214
41, 0, 0.03200911730527878, 0.1408708244562149
42, 0, 0.03177749738097191, 0.14095962047576904
43, 0, 0.031557463109493256, 0.141036257147789
44, 0, 0.03134715557098389, 0.14109957218170166
45, 0, 0.031147217378020287, 0.1411522626876831
46, 0, 0.030956586822867393, 0.1411958485841751
47, 0, 0.030773483216762543, 0.14122743904590607
48, 0, 0.03059895522892475, 0.14125223457813263
49, 0, 0.03043110854923725, 0.14126737415790558
50, 0, 0.030271736904978752, 0.1412787288427353
51, 0, 0.030118126422166824, 0.14127874374389648
52, 0, 0.029968880116939545, 0.14127212762832642
53, 0, 0.029823394492268562, 0.14125818014144897
54, 0, 0.02968050166964531, 0.14123454689979553
55, 0, 0.029540808871388435, 0.14120371639728546
56, 0, 0.029403461143374443, 0.14116626977920532
57, 0, 0.029268478974699974, 0.14112260937690735
58, 0, 0.029136179015040398, 0.14107416570186615
59, 0, 0.02900666370987892, 0.14102114737033844
60, 0, 0.02887871116399765, 0.14096185564994812
61, 0, 0.02875407598912716, 0.14090143144130707
62, 0, 0.02863282524049282, 0.14083993434906006
63, 0, 0.028513791039586067, 0.1407751888036728
64, 0, 0.028396010398864746, 0.14070627093315125
65, 0, 0.028280436992645264, 0.14063683152198792
66, 0, 0.02816668525338173, 0.14056436717510223
67, 0, 0.02805461175739765, 0.1404908001422882
68, 0, 0.0279448963701725, 0.1404162347316742
69, 0, 0.027835732325911522, 0.1403377503156662
70, 0, 0.02772907353937626, 0.14026124775409698
71, 0, 0.0276238601654768, 0.14018194377422333
72, 0, 0.027520228177309036, 0.14010262489318848
73, 0, 0.027417443692684174, 0.14001992344856262
74, 0, 0.027315953746438026, 0.1399381458759308
75, 0, 0.027216164395213127, 0.13985413312911987
76, 0, 0.02711823582649231, 0.13977661728858948
77, 0, 0.027020974084734917, 0.13969263434410095
78, 0, 0.02692607417702675, 0.13961422443389893
79, 0, 0.026831211522221565, 0.13952945172786713
80, 0, 0.02673708088696003, 0.139443039894104
81, 0, 0.026644300669431686, 0.13935747742652893
82, 0, 0.026554282754659653, 0.13927306234836578
83, 0, 0.02646399475634098, 0.13918597996234894
84, 0, 0.026373781263828278, 0.139097198843956
85, 0, 0.026283888146281242, 0.1390073150396347
86, 0, 0.026195550337433815, 0.13891905546188354
87, 0, 0.026107553392648697, 0.13883064687252045
88, 0, 0.02602061815559864, 0.1387416422367096
89, 0, 0.025934400036931038, 0.1386534571647644
90, 0, 0.025848791003227234, 0.1385648399591446
91, 0, 0.025763405486941338, 0.1384754478931427
92, 0, 0.0256800539791584, 0.13838836550712585
93, 0, 0.02559765987098217, 0.13830025494098663
94, 0, 0.025515351444482803, 0.1382090002298355
95, 0, 0.02543390728533268, 0.13812094926834106
96, 0, 0.025353552773594856, 0.13803400099277496
97, 0, 0.025270797312259674, 0.13794460892677307
98, 0, 0.02519063837826252, 0.13785864412784576
99, 0, 0.025111548602581024, 0.13777270913124084
100, 0, 0.025032315403223038, 0.13768386840820312
101, 0, 0.024953780695796013, 0.13759534060955048
102, 1, 0.28525054454803467, 0.5960286259651184
