step, command_counter, position_error, orientation_error
1819, 0, 0.6495385766029358, 1.520708680152893
1820, 0, 0.6041125655174255, 1.2965911626815796
1821, 0, 0.5222922563552856, 0.943324625492096
1822, 0, 0.4276118576526642, 0.6766378879547119
1823, 0, 0.3501388430595398, 0.4013125002384186
1824, 0, 0.2871071398258209, 0.20561620593070984
1825, 0, 0.2383214235305786, 0.07175542414188385
1826, 0, 0.2061588168144226, 0.10925097018480301
1827, 0, 0.1775071769952774, 0.10380913317203522
1828, 0, 0.15463462471961975, 0.11213206499814987
1829, 0, 0.13624538481235504, 0.12051985412836075
1830, 0, 0.12348441034555435, 0.1201179102063179
1831, 0, 0.11143805831670761, 0.1318201720714569
1832, 0, 0.09904173016548157, 0.1339416652917862
1833, 0, 0.08758386224508286, 0.1354687511920929
1834, 0, 0.07880266010761261, 0.13696275651454926
1835, 0, 0.07135093212127686, 0.1380988210439682
1836, 0, 0.06458356231451035, 0.13465029001235962
1837, 0, 0.05853100121021271, 0.13399432599544525
1838, 0, 0.053541962057352066, 0.14053750038146973
1839, 0, 0.049442291259765625, 0.15175485610961914
1840, 0, 0.04579198360443115, 0.16225503385066986
1841, 0, 0.042632050812244415, 0.16803094744682312
1842, 0, 0.04013245552778244, 0.1709454357624054
1843, 0, 0.03818199783563614, 0.17143577337265015
1844, 0, 0.03651171550154686, 0.170305535197258
1845, 0, 0.035062916576862335, 0.16784179210662842
1846, 0, 0.03388700634241104, 0.16485698521137238
1847, 0, 0.03294219821691513, 0.1615070104598999
1848, 0, 0.03210017457604408, 0.15806744992733002
1849, 0, 0.031334444880485535, 0.154584601521492
1850, 0, 0.030649198219180107, 0.15115070343017578
1851, 0, 0.030033038929104805, 0.14790485799312592
1852, 0, 0.029472796246409416, 0.14485816657543182
1853, 0, 0.028960229828953743, 0.14200979471206665
1854, 0, 0.028485868126153946, 0.13936518132686615
1855, 0, 0.02804323472082615, 0.13692942261695862
1856, 0, 0.027628958225250244, 0.13466961681842804
1857, 0, 0.027239054441452026, 0.13256560266017914
1858, 0, 0.02687104232609272, 0.1305989772081375
1859, 0, 0.026522880420088768, 0.12877057492733002
1860, 0, 0.026192404329776764, 0.12704779207706451
1861, 0, 0.025876790285110474, 0.12544812262058258
1862, 0, 0.025575870648026466, 0.12395136803388596
1863, 0, 0.025288745760917664, 0.122527576982975
1864, 0, 0.02501341514289379, 0.12120193243026733
1865, 0, 0.02474883943796158, 0.11996041238307953
1866, 0, 0.024494333192706108, 0.1188010424375534
1867, 0, 0.024249782785773277, 0.11771577596664429
1868, 0, 0.024015823379158974, 0.1166822537779808
1869, 0, 0.02378908544778824, 0.11572597920894623
1870, 0, 0.0235702246427536, 0.11484614759683609
1871, 0, 0.02335861138999462, 0.1140270084142685
1872, 0, 0.02315419167280197, 0.11327347159385681
1873, 0, 0.02295745722949505, 0.11256033927202225
1874, 0, 0.02276601269841194, 0.11191042512655258
1875, 0, 0.02258147858083248, 0.11132742464542389
1876, 0, 0.022403834387660027, 0.11078996956348419
1877, 0, 0.022232191637158394, 0.11029461771249771
1878, 0, 0.022067055106163025, 0.10984672605991364
1879, 0, 0.02190794236958027, 0.10944182425737381
1880, 0, 0.021754467859864235, 0.10909271240234375
1881, 0, 0.02160709723830223, 0.108791783452034
1882, 0, 0.02146606706082821, 0.10853482782840729
1883, 0, 0.021330446004867554, 0.1083255484700203
1884, 0, 0.02120094932615757, 0.10815829783678055
1885, 0, 0.021078793331980705, 0.1080169826745987
1886, 0, 0.020960768684744835, 0.10793109238147736
1887, 0, 0.020848151296377182, 0.10788936913013458
1888, 0, 0.020740747451782227, 0.10788094997406006
1889, 0, 0.020638421177864075, 0.10790427774190903
1890, 0, 0.020541181787848473, 0.10795388370752335
1891, 0, 0.020449334755539894, 0.10802832245826721
1892, 0, 0.02036193571984768, 0.10812395811080933
1893, 0, 0.020278481766581535, 0.10825181752443314
1894, 0, 0.02019963227212429, 0.1084010973572731
