step, command_counter, position_error, orientation_error
2030, 2, 0.2508983016014099, 0.2678288221359253
2031, 2, 0.24822045862674713, 0.250611275434494
2032, 2, 0.24585583806037903, 0.2356071174144745
2033, 2, 0.24376869201660156, 0.22232265770435333
2034, 2, 0.24194744229316711, 0.21087463200092316
2035, 2, 0.24036423861980438, 0.20108677446842194
2036, 2, 0.2389795035123825, 0.19231723248958588
2037, 2, 0.23775771260261536, 0.1841084063053131
2038, 2, 0.23668360710144043, 0.17670944333076477
2039, 2, 0.23574398458003998, 0.17025403678417206
2040, 2, 0.23492415249347687, 0.16472630202770233
2041, 2, 0.23421020805835724, 0.16004252433776855
2042, 2, 0.2335875928401947, 0.1560104489326477
2043, 2, 0.23304082453250885, 0.1521473079919815
2044, 2, 0.23253920674324036, 0.1484460085630417
2045, 2, 0.2320794016122818, 0.14474833011627197
2046, 2, 0.23165953159332275, 0.14118993282318115
2047, 2, 0.23127631843090057, 0.13784261047840118
2048, 2, 0.2309279441833496, 0.13474740087985992
2049, 2, 0.230610653758049, 0.1319175809621811
2050, 2, 0.23032143712043762, 0.1293496936559677
2051, 2, 0.23005808889865875, 0.1270342618227005
2052, 2, 0.22981877624988556, 0.12495002150535583
2053, 2, 0.22960080206394196, 0.12307395040988922
2054, 2, 0.22940342128276825, 0.12139328569173813
2055, 2, 0.22922363877296448, 0.11988174170255661
2056, 2, 0.2290612906217575, 0.11851715296506882
2057, 2, 0.22891417145729065, 0.11728297919034958
2058, 2, 0.228780135512352, 0.11617332696914673
2059, 2, 0.22865894436836243, 0.11517342180013657
2060, 2, 0.22855053842067719, 0.11426251381635666
2061, 2, 0.22845260798931122, 0.11343887448310852
2062, 2, 0.22836536169052124, 0.11269234865903854
2063, 2, 0.22828775644302368, 0.11201450973749161
2064, 2, 0.22821880877017975, 0.11139658093452454
2065, 2, 0.22815825045108795, 0.11082568019628525
2066, 2, 0.22810503840446472, 0.1102960854768753
2067, 2, 0.22805875539779663, 0.10980533063411713
2068, 2, 0.22801828384399414, 0.1093432828783989
2069, 2, 0.22798386216163635, 0.10890854150056839
2070, 2, 0.22795559465885162, 0.10848785191774368
2071, 2, 0.22793245315551758, 0.10808727145195007
2072, 2, 0.2279142439365387, 0.10770104080438614
2073, 2, 0.22790126502513885, 0.10732045769691467
2074, 2, 0.2278929054737091, 0.1069507822394371
2075, 2, 0.22788797318935394, 0.10659272223711014
2076, 2, 0.2278873175382614, 0.10624036192893982
2077, 2, 0.22788982093334198, 0.10589496046304703
2078, 2, 0.22789615392684937, 0.10555121302604675
2079, 2, 0.22790442407131195, 0.10521725565195084
2080, 2, 0.2279166281223297, 0.10488176345825195
2081, 2, 0.22793154418468475, 0.10454536229372025
2082, 2, 0.22794829308986664, 0.10420460253953934
2083, 2, 0.2279675006866455, 0.10386893153190613
2084, 2, 0.22798870503902435, 0.10353491455316544
2085, 2, 0.2280120849609375, 0.10320351272821426
2086, 2, 0.22803640365600586, 0.10287501662969589
2087, 2, 0.22806257009506226, 0.10255119949579239
2088, 2, 0.22808967530727386, 0.10223153978586197
