command,num_steps,avg_position_error,avg_orientation_error,position_error_rate,orientation_error_rate,position_r_squared,orientation_r_squared,max_position_error,min_position_error,max_orientation_error,min_orientation_error,position_error_pct_change,orientation_error_pct_change
0,101,0.5971881587906639,0.1541930455530044,-0.00014681726121319258,-0.001958689179507951,0.4597828343914259,0.5684972944136905,0.6285041570663452,0.5936252474784851,0.4365693926811218,0.1077000498771667,-5.549511358948462,-73.43103425677859
1,101,0.7062593013933389,0.18899245220835847,-4.796472203960652e-06,-0.0006156463961859535,0.026540961184378792,0.6754826806016684,0.711610734462738,0.7055501937866211,0.312043160200119,0.1698303371667862,-0.7070448260204691,-45.57472849016435
2,101,0.7083002759678529,0.09912542489790678,-0.0004065054582174807,-0.0020149941427820843,0.604922720296882,0.2606082189055782,0.7600425481796265,0.6979652643203735,0.7070621252059937,0.0557972714304924,-8.167606406764184,-90.77236259133167
3,101,0.7102401693268577,0.43599448286660825,7.026291685043279e-05,-0.0009418810549071177,0.9061310981957078,0.5503225693755763,0.7139126062393188,0.7071411609649658,0.5156609416007996,0.3952391743659973,0.5573297203394284,-20.401723556469456
4,101,0.8145367650702449,0.06690799747363171,-6.307319769973177e-06,-0.0008307277345265079,0.3307215749610856,0.621643794915254,0.8162242770195007,0.8143066763877869,0.1654024422168731,0.0463337115943431,-0.23493550555934434,-68.99108060652418
5,101,0.825098702813139,0.2516252079812607,-0.00038262610457703063,-0.0011785496011957849,0.8151358372985184,0.1877304667712882,0.8579088449478149,0.8135734796524048,0.8020696043968201,0.2244050502777099,-5.167841030722442,-72.02174860541322
6,101,0.6047926415311228,0.4243331579583706,-0.00030542492797087283,0.0017806536778503896,0.797140708986494,0.5409939966755167,0.6354992389678955,0.5947300791740417,0.4830370843410492,0.14629727602005,-6.415296399106051,83.12183642966522
7,101,0.7143154138385659,0.5496982843569009,4.946428117324383e-05,-4.316054462483961e-05,0.9737019300484554,0.10846680486991427,0.7166683077812195,0.7113080620765686,0.5809413194656372,0.5450372695922852,0.7346170392714821,-6.180322981050375
8,101,0.7053096430136425,0.19466402448049866,-0.0004362877857983632,0.0005206781086372508,0.6859880180055682,0.0419099550079898,0.751780092716217,0.6939039826393127,0.6827276349067688,0.0425665080547332,-7.588449716143779,-68.27626887407658
