command,2025-04-09_14-54-11_slow_avg_position_error,2025-04-09_14-54-11_slow_avg_orientation_error,2025-04-09_14-54-11_slow_position_error_rate,2025-04-09_14-54-11_slow_orientation_error_rate,2025-04-09_14-54-11_slow_position_r_squared,2025-04-09_14-54-11_slow_orientation_r_squared,2025-04-09_14-54-11_slow_max_position_error,2025-04-09_14-54-11_slow_min_position_error,2025-04-09_14-54-11_slow_max_orientation_error,2025-04-09_14-54-11_slow_min_orientation_error,2025-04-09_14-54-11_slow_position_error_pct_change,2025-04-09_14-54-11_slow_orientation_error_pct_change,2025-04-09_14-54-11_slow_num_steps,2025-04-22_10-00-00_avg_position_error,2025-04-22_10-00-00_avg_orientation_error,2025-04-22_10-00-00_position_error_rate,2025-04-22_10-00-00_orientation_error_rate,2025-04-22_10-00-00_position_r_squared,2025-04-22_10-00-00_orientation_r_squared,2025-04-22_10-00-00_max_position_error,2025-04-22_10-00-00_min_position_error,2025-04-22_10-00-00_max_orientation_error,2025-04-22_10-00-00_min_orientation_error,2025-04-22_10-00-00_position_error_pct_change,2025-04-22_10-00-00_orientation_error_pct_change,2025-04-22_10-00-00_num_steps,2025-04-30_10-00-00_joint-vel-body-track_avg_position_error,2025-04-30_10-00-00_joint-vel-body-track_avg_orientation_error,2025-04-30_10-00-00_joint-vel-body-track_position_error_rate,2025-04-30_10-00-00_joint-vel-body-track_orientation_error_rate,2025-04-30_10-00-00_joint-vel-body-track_position_r_squared,2025-04-30_10-00-00_joint-vel-body-track_orientation_r_squared,2025-04-30_10-00-00_joint-vel-body-track_max_position_error,2025-04-30_10-00-00_joint-vel-body-track_min_position_error,2025-04-30_10-00-00_joint-vel-body-track_max_orientation_error,2025-04-30_10-00-00_joint-vel-body-track_min_orientation_error,2025-04-30_10-00-00_joint-vel-body-track_position_error_pct_change,2025-04-30_10-00-00_joint-vel-body-track_orientation_error_pct_change,2025-04-30_10-00-00_joint-vel-body-track_num_steps,2025-05-06_10-00-00_avg_position_error,2025-05-06_10-00-00_avg_orientation_error,2025-05-06_10-00-00_position_error_rate,2025-05-06_10-00-00_orientation_error_rate,2025-05-06_10-00-00_position_r_squared,2025-05-06_10-00-00_orientation_r_squared,2025-05-06_10-00-00_max_position_error,2025-05-06_10-00-00_min_position_error,2025-05-06_10-00-00_max_orientation_error,2025-05-06_10-00-00_min_orientation_error,2025-05-06_10-00-00_position_error_pct_change,2025-05-06_10-00-00_orientation_error_pct_change,2025-05-06_10-00-00_num_steps,2025-05-07_10-00-00_avg_position_error,2025-05-07_10-00-00_avg_orientation_error,2025-05-07_10-00-00_position_error_rate,2025-05-07_10-00-00_orientation_error_rate,2025-05-07_10-00-00_position_r_squared,2025-05-07_10-00-00_orientation_r_squared,2025-05-07_10-00-00_max_position_error,2025-05-07_10-00-00_min_position_error,2025-05-07_10-00-00_max_orientation_error,2025-05-07_10-00-00_min_orientation_error,2025-05-07_10-00-00_position_error_pct_change,2025-05-07_10-00-00_orientation_error_pct_change,2025-05-07_10-00-00_num_steps,2025-05-13_10-00-00_main_avg_position_error,2025-05-13_10-00-00_main_avg_orientation_error,2025-05-13_10-00-00_main_position_error_rate,2025-05-13_10-00-00_main_orientation_error_rate,2025-05-13_10-00-00_main_position_r_squared,2025-05-13_10-00-00_main_orientation_r_squared,2025-05-13_10-00-00_main_max_position_error,2025-05-13_10-00-00_main_min_position_error,2025-05-13_10-00-00_main_max_orientation_error,2025-05-13_10-00-00_main_min_orientation_error,2025-05-13_10-00-00_main_position_error_pct_change,2025-05-13_10-00-00_main_orientation_error_pct_change,2025-05-13_10-00-00_main_num_steps
0,0.7195205204557664,1.6025745727048062,-0.0001547343139392,-0.0009250678916135,0.3555028058933711,0.9351918341338477,0.7296680808067322,0.7032272219657898,1.6801633834838867,1.5627838373184204,0.3152177091495775,-6.986198325669678,101.0,0.320961867818738,1.0997841535228314,-0.0017015647523682,-0.0030567254684106,0.6229107288661981,0.4819783686554693,0.633293628692627,0.272551953792572,1.7352328300476074,1.0175353288650513,-56.96278291079148,-28.676533810421592,101.0,0.3250937313978909,1.4001454160413669,-0.0002874016394281,-0.000354414177623,0.0342792554529972,0.0147458070827749,0.5959002375602722,0.281382292509079,1.883580446243286,1.3148958683013916,-44.61905287774007,-24.003605428597783,131.0,0.439886984258595,0.4295813823395436,-0.0013265778578223,-0.0145337440052661,0.8824438469424793,0.4805218835045009,0.5465654134750366,0.3948380053043365,3.0199859142303467,0.0679975897073745,-27.76015540500899,-91.3924569976082,101.0,0.2522546923396611,0.928288207785918,-0.0032393417819405,-0.0095970387200526,0.4667603005643376,0.3800244663572541,0.8493592143058777,0.1744503378868103,2.9880545139312744,0.678447961807251,-79.46094715303978,-71.89296157776184,101.0,0.2341444737250262,0.9155484609084554,-0.0032769776314028,-0.0101358731680299,0.4637910618054566,0.398929211628671,0.8421761989593506,0.1573410779237747,3.085632085800171,0.6661087274551392,-81.31732075565708,-73.36729377034729,101.0
1,0.7452756880533578,1.6674405218351005,-0.0004622512059497,-0.0006981569039106,0.9786194046113944,0.9772426859546682,0.7730809450149536,0.7258286476135254,1.712572455406189,1.637857437133789,-6.112205676019376,-4.362736188856836,101.0,0.2860499083405674,1.021523809669041,-0.0005211522382015,-0.0003894755502877,0.6972207443273211,0.7241174780822057,0.35915008187294,0.2693477869033813,1.0752156972885132,1.005458116531372,-25.00411374020762,-6.48777551639697,101.0,0.2796147630946471,1.4109009941025537,-0.0014093040887116,-0.0045327230789804,0.5362768236131767,0.5585168058618895,0.3851151466369629,0.1766782253980636,1.6208560466766355,0.8881487846374512,-10.483356419414472,-38.88755637952426,101.0,0.4475183492839926,0.1905580949370223,-0.0004374760566371,0.000916820606591,0.8110782498883005,0.8477463529877344,0.4731202125549316,0.3971364200115204,0.2339445650577545,0.1436666250228881,-16.06014508090565,14.419997954593835,101.0,0.1870825305433556,0.5851173808078954,-0.0004788523582642,-0.0006766232766588,0.7930114101820396,0.7863643390124191,0.253513902425766,0.1701887249946594,0.6910619735717773,0.5583552122116089,-32.86808992871936,-19.203308304502567,101.0,0.1694187811105558,0.4552027710003428,-0.0004173275887376,-0.0002573588099949,0.740655175343033,0.4938599949235489,0.2341961860656738,0.1539436280727386,0.5007186532020569,0.4487561285495758,-34.26723523603011,-9.868379467577864,101.0
2,0.7037292795606179,1.843170690064383,-0.0002521686166542,-0.0004166248584807,0.9986397814142968,0.9964832058033668,0.7156331539154053,0.6909820437431335,1.8665504455566408,1.8232371807098389,-3.4446573691282234,-2.320005114422744,101.0,0.2942259084470201,1.2405625546332633,-5.533935132246083e-05,-0.0004861152470632,0.1017577818160259,0.2650385739436637,0.3033773303031921,0.2668361961841583,1.3684173822402954,1.2272093296051023,9.159899601688137,-1.990441226244408,101.0,0.5867949161264632,1.3211812708112929,0.0592238078514734,0.0443358401457468,0.9834732314638884,0.8513537364753673,0.8259932398796082,0.3884763717651367,1.5368643999099731,1.178670883178711,112.62380415223384,26.530197832111572,9.0,0.3767616964212739,0.5289567741427091,0.0005332796769428,0.000663460069919,0.7482645741947394,0.7438059544949788,0.4072740972042084,0.3548811972141266,0.5660040378570557,0.4899000823497772,5.434170008550708,-1.323592782287058,101.0,0.1628418561845722,0.6562058034509716,-0.0005400390906533,-0.0015289620715792,0.7566317553837666,0.8102669555788585,0.2191306054592132,0.1460825651884079,0.7887381911277771,0.6031578779220581,-33.335389238634555,-22.95423649256461,101.0,0.1525820862538743,0.6406275506066804,-0.0005771895927194,-0.0014918804397816,0.7920988912222454,0.850643489203673,0.2069399505853653,0.1344508677721023,0.7575938701629639,0.5874676704406738,-35.029042293774175,-21.37347787871405,101.0
