step, command_counter, position_error, orientation_error
1819, 0, 0.28113096952438354, 0.3953058123588562
1820, 0, 0.2844989597797394, 0.3963862955570221
1821, 0, 0.29102301597595215, 0.4026118516921997
1822, 0, 0.2979276180267334, 0.41416820883750916
1823, 0, 0.30206817388534546, 0.42111486196517944
1824, 0, 0.3049575984477997, 0.42332756519317627
1825, 0, 0.3096608519554138, 0.42781975865364075
1826, 0, 0.31586554646492004, 0.4364006221294403
1827, 0, 0.3213277757167816, 0.44562968611717224
1828, 0, 0.32487213611602783, 0.45111289620399475
1829, 0, 0.3280569016933441, 0.4541757106781006
1830, 0, 0.3325579762458801, 0.4591864347457886
1831, 0, 0.3375302851200104, 0.46612462401390076
1832, 0, 0.3416568338871002, 0.4722725749015808
1833, 0, 0.34485283493995667, 0.47643640637397766
1834, 0, 0.3481738567352295, 0.4801075756549835
1835, 0, 0.35222113132476807, 0.4850694537162781
1836, 0, 0.35617008805274963, 0.4906063377857208
1837, 0, 0.35928812623023987, 0.4949415326118469
1838, 0, 0.3619970679283142, 0.49805113673210144
1839, 0, 0.36516469717025757, 0.5015822649002075
1840, 0, 0.36872395873069763, 0.5061956644058228
1841, 0, 0.3718246817588806, 0.5105862617492676
1842, 0, 0.37421920895576477, 0.5136629343032837
1843, 0, 0.37664517760276794, 0.5162855386734009
1844, 0, 0.3796081244945526, 0.5198274850845337
1845, 0, 0.3825879991054535, 0.5239481925964355
1846, 0, 0.3849160969257355, 0.5272319912910461
1847, 0, 0.3868618905544281, 0.5294959545135498
1848, 0, 0.38917142152786255, 0.5320765972137451
1849, 0, 0.3918498456478119, 0.5355848073959351
1850, 0, 0.39417991042137146, 0.5389837622642517
1851, 0, 0.39590874314308167, 0.5412989854812622
1852, 0, 0.39765074849128723, 0.5432082414627075
1853, 0, 0.39985954761505127, 0.5458958148956299
1854, 0, 0.40210074186325073, 0.549083948135376
1855, 0, 0.40379253029823303, 0.5515676140785217
1856, 0, 0.40516313910484314, 0.5532044768333435
1857, 0, 0.4068550169467926, 0.555119514465332
1858, 0, 0.40885910391807556, 0.557815670967102
1859, 0, 0.4105547368526459, 0.5603736042976379
1860, 0, 0.4117538034915924, 0.5620179176330566
1861, 0, 0.41299968957901, 0.5633873343467712
1862, 0, 0.41464704275131226, 0.5654392242431641
1863, 0, 0.41629472374916077, 0.5678765773773193
1864, 0, 0.4174750745296478, 0.5696655511856079
1865, 0, 0.41839128732681274, 0.570748507976532
1866, 0, 0.4196021556854248, 0.5720909833908081
1867, 0, 0.4210917055606842, 0.5741254687309265
1868, 0, 0.4223116934299469, 0.5760340094566345
1869, 0, 0.42310377955436707, 0.5771535634994507
1870, 0, 0.4239569902420044, 0.5780580043792725
1871, 0, 0.425173819065094, 0.5795829892158508
1872, 0, 0.4263802468776703, 0.5814254283905029
1873, 0, 0.4271683692932129, 0.582689642906189
1874, 0, 0.42777276039123535, 0.5833823680877686
1875, 0, 0.4286642372608185, 0.5843788385391235
1876, 0, 0.4297640323638916, 0.5859386920928955
1877, 0, 0.430597186088562, 0.5873112678527832
1878, 0, 0.431093692779541, 0.5880164504051208
1879, 0, 0.4316851496696472, 0.5886165499687195
1880, 0, 0.4325791895389557, 0.589752197265625
1881, 0, 0.4334346652030945, 0.5911065340042114
1882, 0, 0.43393778800964355, 0.591945469379425
1883, 0, 0.43432074785232544, 0.5923536419868469
1884, 0, 0.43495818972587585, 0.5930507779121399
1885, 0, 0.4357564449310303, 0.5942143797874451
1886, 0, 0.4363238215446472, 0.5951942205429077
1887, 0, 0.4366181790828705, 0.5956162810325623
1888, 0, 0.4370024502277374, 0.5959609150886536
1889, 0, 0.43764394521713257, 0.5967735648155212
1890, 0, 0.43825799226760864, 0.5977751612663269
1891, 0, 0.43858063220977783, 0.5983517169952393
1892, 0, 0.43878939747810364, 0.5985364317893982
1893, 0, 0.43920719623565674, 0.5989501476287842
1894, 0, 0.43979036808013916, 0.5997944474220276
1895, 0, 0.44020020961761475, 0.6005398631095886
