command,num_steps,avg_position_error,avg_orientation_error,position_error_rate,orientation_error_rate,position_r_squared,orientation_r_squared,max_position_error,min_position_error,max_orientation_error,min_orientation_error,position_error_pct_change,orientation_error_pct_change
0,101,0.5149147569543064,0.2868630478877832,-0.0004074197837482991,0.0009813981463760572,0.6895002905770043,0.8721783661037117,0.5717316269874573,0.5011972188949585,0.3232677578926086,0.225598007440567,-12.33697853381936,13.978535976837481
1,101,0.6986186457152413,0.8114960583129732,-0.00022760629931645965,-0.0004873852272955705,0.9623527277019438,0.9670279840332366,0.7145861983299255,0.6890638470649719,0.8447601795196533,0.7907092571258545,-3.5716266735353184,-6.398374793723493
2,101,0.5814723962604409,0.3898771897991105,0.00019392689578256835,-0.0018335837604837085,0.8368266943633618,0.9101993573791525,0.587725818157196,0.5591127276420593,0.516474187374115,0.328188955783844,5.117588833258443,-36.4558841841759
3,101,0.7075654014502422,0.3596033459842795,5.770450354872154e-05,0.0014015808953194682,0.22657254774809252,0.9226749432362342,0.7208360433578491,0.7007913589477539,0.4082037210464477,0.2728419303894043,-1.5415563674803132,38.63844067124799
4,101,0.881303336360667,0.6365603184936071,-0.0002910831666089938,-0.00046951366429003993,0.9708871296243985,0.9453407451253069,0.8997801542282104,0.8691548705101013,0.6699203252792358,0.6172194480895996,-3.403640719813172,-7.731998216160852
5,101,0.711819321212202,0.6988241696121669,-0.0001561984428501295,-0.001942804443607097,0.7066263116071476,0.8770220040593467,0.7247976064682007,0.7078449130058289,0.8372162580490112,0.6397205591201782,-1.5353205241109495,-23.589568051277794
6,101,0.4566977097846494,0.5999721563098455,-0.0007698169019101451,0.0019699840783100873,0.8773215916843944,0.7522675109455615,0.5233420729637146,0.4306829273700714,0.6528623700141907,0.3959308862686157,-17.705273544874657,64.88888868816481
7,101,0.6685436698469785,0.6875890694042244,-0.0004326642371918063,-0.0007412604794088464,0.9447090006978476,0.9793414269691766,0.6996291279792786,0.6511828303337097,0.7335624098777771,0.6551464200019836,-6.9245684189129015,-10.68919151920792
8,101,0.525468924258015,0.7529447155423684,0.0005862306993092367,-0.0019331060659767375,0.8900904473889637,0.8999546492907325,0.5451273918151855,0.4742302000522613,0.8843364119529724,0.6899906992912292,14.949952945871269,-21.976445845144976
