command,num_steps,avg_position_error,avg_orientation_error,position_error_rate,orientation_error_rate,position_r_squared,orientation_r_squared,max_position_error,min_position_error,max_orientation_error,min_orientation_error,position_error_pct_change,orientation_error_pct_change
0,101,0.40365819293673677,0.5521606150830146,0.0014138910675993057,0.0018542608242084909,0.828272829987728,0.8341996000551167,0.4444409906864166,0.2811309695243835,0.6059695482254028,0.3953058123588562,58.08570589588465,53.27216847797488
1,101,0.5232820699710657,0.8296523613504844,-0.0004702452920381594,-0.0008256803235135664,0.9988762756876952,0.9920597811513673,0.5451502203941345,0.5006347298622131,0.8749581575393677,0.7926316857337952,-8.160156176535294,-9.409189581945046
2,101,0.3277924751291181,0.7027886226625726,-0.0013804950489161943,-0.0018229116300683974,0.9217854555038705,0.9522785030182153,0.4255313575267792,0.2793143391609192,0.8297497034072876,0.634264349937439,-34.36104432248765,-23.559556896146727
3,101,0.6220552319347268,0.8408812337582654,0.0009046261089793732,0.0013836498016108589,0.9126779497531012,0.9114997280537996,0.6525864601135254,0.565764844417572,0.8889763355255127,0.7574714422225952,15.225413741676254,12.154283250372492
4,101,0.7109442317839896,0.7834077536469639,-2.5187470431097317e-05,-0.00016576990250869068,0.8249996094915624,0.9871469238184652,0.711896538734436,0.7092727422714233,0.7914980053901672,0.7756080031394958,-0.17174361208896508,-1.6096494736729086
5,101,0.5773725037527556,0.6663768639658937,-0.001183545206199916,-0.0016451482378471427,0.9079528370667116,0.9424070254028101,0.6618645787239075,0.537154495716095,0.7839860916137695,0.6057030558586121,-18.84223555946397,-22.740586556602914
6,101,0.20638623575467874,0.6783494444766848,0.001220298834453159,0.0024132600174994402,0.8684849773465276,0.7945377823085006,0.2438626140356063,0.1117372289299964,0.7494227290153503,0.4328581690788269,118.24652031453789,73.13355333230976
7,101,0.35180419270354923,0.9995420941031805,-0.0002989951847039757,-0.0003239976665483495,0.9985782413862323,0.9842960855689122,0.3678694069385528,0.3369926512241363,1.0193058252334597,0.9818394184112548,-8.393401335374978,-3.672727081346327
8,101,0.1827214358761759,0.69877557943363,-0.001097488842978336,-0.0016609379067695899,0.897334034921367,0.9551422878224288,0.2669896781444549,0.1455277055501938,0.813633143901825,0.6359394192695618,-45.49313420593887,-21.83953861320381
